physical_lines	disposition	exclusion_category	path
2699	included	-	tokio/src/net/windows/named_pipe.rs
2358	included	-	tokio/src/net/udp.rs
2092	included	-	tokio/src/runtime/builder.rs
1965	included	-	tokio/src/sync/mpsc/bounded.rs
1854	included	-	tokio/src/process/mod.rs
1797	included	-	tokio/src/sync/broadcast.rs
1772	included	-	tokio/tests/sync_mpsc.rs
1621	included	-	tokio/src/net/unix/datagram/socket.rs
1609	included	-	tokio/src/sync/oneshot.rs
1593	included	-	tokio/src/runtime/scheduler/multi_thread/worker.rs
1582	included	-	tokio/src/net/tcp/stream.rs
1556	included	-	tokio/src/net/unix/pipe.rs
1556	included	-	tokio/src/sync/watch.rs
1454	included	-	tokio/src/io/util/async_read_ext.rs
1439	included	-	tokio/src/io/async_fd.rs
1436	included	-	tokio/tests/rt_common.rs
1414	included	-	tokio/src/macros/select.rs
1412	included	-	tokio/src/sync/notify.rs
1396	included	-	tokio/src/sync/mutex.rs
1362	included	-	tokio-util/src/time/delay_queue.rs
1350	included	-	tokio/src/task/local.rs
1332	included	-	tokio/src/io/util/async_write_ext.rs
1310	included	-	tokio/src/runtime/metrics/runtime.rs
1235	included	-	tokio/src/sync/semaphore.rs
1226	included	-	tokio-stream/src/stream_ext.rs
1130	included	-	tokio/src/sync/rwlock.rs
1126	included	-	tokio/src/fs/file.rs
1123	included	-	tokio/src/net/unix/stream.rs
1086	included	-	tokio-util/src/codec/length_delimited.rs
1064	included	-	tokio/src/net/tcp/socket.rs
978	included	-	tokio/src/fs/file/tests.rs
959	included	-	tokio/tests/io_async_fd.rs
959	included	-	tokio/tests/sync_broadcast.rs
954	included	-	tokio/tests/rt_threaded.rs
927	included	-	tokio/src/runtime/scheduler/current_thread/mod.rs
920	included	-	tokio-util/tests/time_delay_queue.rs
904	included	-	tokio-util/src/task/join_map.rs
902	included	-	tokio/tests/rt_unstable_metrics.rs
859	included	-	tokio/src/fs/open_options.rs
851	included	-	tokio/src/task/join_set.rs
836	included	-	tokio-util/tests/length_delimited.rs
822	included	-	tokio-stream/src/stream_map.rs
808	included	-	tokio/tests/task_local_set.rs
802	included	-	tokio/tests/udp.rs
796	included	-	tokio-util/tests/task_join_map.rs
794	included	-	tokio/src/util/linked_list.rs
781	included	-	tokio-macros/src/entry.rs
780	included	-	tokio/src/sync/batch_semaphore.rs
778	included	-	tokio/tests/async_send_sync.rs
770	included	-	tokio/src/macros/cfg.rs
760	included	-	tokio/tests/macros_select.rs
747	included	-	tokio/src/runtime/handle.rs
730	included	-	tokio-util/src/task/task_tracker.rs
726	included	-	tokio/src/sync/mpsc/unbounded.rs
709	included	-	tokio/src/lib.rs
688	included	-	tokio/tests/sync_mpsc_weak.rs
683	included	-	tokio/src/runtime/task/mod.rs
668	included	-	tokio-macros/src/lib.rs
662	included	-	tokio/tests/task_join_set.rs
657	included	-	tokio/src/runtime/task/state.rs
652	included	-	tokio/src/runtime/mod.rs
646	included	-	tokio/tests/net_unix_pipe.rs
